0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,87,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,45,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,4,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,8,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,0,1,0,1,1,8,2,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,7,13,1,0,46,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,12,3,0,0,1,0,2,0,0,0
0,0,0,0,0,1,0,0,22,0,1,18,0,2,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0
0,0,0,2,0,3,0,2,9,0,1,0,1,1,35,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
